-1  25  15  15
 1.046642086  10  11  6  K
 1.057332071  10  11  7  K
 1.071270415  10  11  8  K
 1.091998266  10  11  9  K
 1.117870368  10  10  9  K
 1.130869563  10  10  10  K
 1.182875916  10  10  9  K
 1.229316278  10  9  9  K
 1.277723291  10  9  8  K
 1.293315604  10  9  7  K
 1.350433891  10  8  7  K
 1.392096283  10  8  8  K
 1.450235552  10  8  9  K
 1.479690777  10  7  9  K
 1.522477192  10  8  9  K
 1.548415017  10  7  9  K
 1.607107573  10  6  9  K
 1.644543673  10  5  9  K
 1.674592923  10  6  9  K
 1.696633273  10  5  9  K
 1.707553937  10  4  9  K
 1.759067944  10  5  9  K
 1.807316060  10  5  10  K
 1.825712187  10  5  9  K
 1.868857260  10  4  9  K
 1.888767992  10  4  8  K
 1.943012556  10  4  9  K
 2.001304406  10  4  10  K
 2.053970644  10  4  11  K
 2.065898325  10  5  11  K
 2.092217481  10  5  10  K
 2.109993898  10  5  11  K
 2.162551182  10  5  12  K
 2.178398412  10  5  13  K
 2.199588594  10  6  13  K
 2.221465106  10  7  13  K
 2.242676314  10  8  13  K
 2.296740661  10  8  14  K
 2.333783188  10  8  13  K
 2.363792505  10  8  14  K
 2.422165697  10  7  14  K
 2.473080562  10  8  14  K
 2.484244239  10  9  14  K
 2.516666404  10  10  14  K
 2.567596513  10  9  14  K
 2.588267021  10  8  14  K
 2.618592721  10  9  14  K
 2.658919262  10  8  14  K
 2.719071423  10  8  13  K
 2.773694025  10  7  13  K
 2.800769255  10  7  12  K
 2.830966272  10  7  11  K
 2.885725583  10  6  11  K
 2.929658565  10  5  11  K
 2.972991714  10  4  11  K
 3.031921301  10  3  11  K
 3.058025618  10  3  10  K
 3.070185724  10  3  9  K
 3.125034809  10  3  10  K
 3.165816481  10  4  10  K
 3.203948800  10  4  11  K
 0.001659600  3  4  9  D
 0.012522378  3  4  10  D
 0.060462698  3  5  10  D
 0.082237185  3  5  9  D
 0.135424192  3  5  10  D
 0.174521710  3  5  11  D
 0.207467950  3  5  12  D
 0.252404548  3  4  12  D
 0.285289522  3  4  11  D
 0.337890424  3  5  11  D
 0.365970179  3  5  12  D
 0.424689886  3  6  12  D
 0.469227921  3  5  12  D
 0.505802690  3  5  13  D
 0.556960025  3  5  12  D
 0.574602946  3  5  13  D
 0.623958544  3  6  13  D
 0.654275248  3  5  13  D
 0.669569926  3  6  13  D
 0.704814650  3  7  13  D
 0.731977783  3  6  13  D
 0.786998319  3  7  13  D
 0.840563019  3  6  13  D
 0.853466005  3  7  13  D
 0.908015885  3  8  13  D
 0.936835477  3  7  13  D
 0.948056350  3  6  13  D
 0.977276869  3  6  14  D
 1.005771194  3  6  13  D
 1.020815201  3  6  12  D
 1.033267847  3  7  12  D
 1.059800419  3  7  11  D
 1.086150209  3  6  11  D
 1.135406617  3  6  12  D
 1.146009402  3  7  12  D
 1.169186789  3  6  12  D
 1.197854732  3  7  12  D
 1.211041962  3  6  12  D
 1.257211128  3  7  12  D
 1.320481269  3  7  13  D
 1.357653527  3  6  13  D
 1.390927837  3  6  12  D
 1.419932732  3  6  13  D
 1.469369977  3  7  13  D
 1.496222564  3  7  12  D
 1.540916130  3  8  12  D
 1.555018843  3  8  13  D
 1.590646437  3  8  12  D
 1.621241568  3  7  12  D
 1.677874832  3  6  12  D
 1.726701606  3  5  12  D
 1.767715734  3  6  12  D
 1.803708372  3  6  13  D
 1.836830333  3  5  13  D
 1.859866398  3  5  14  D
 1.883174216  3  6  14  D
 1.943005881  3  6  0  D
 1.967866197  3  5  0  D
 1.983790618  3  5  14  D
 2.039459868  3  6  14  D
 2.080036944  3  7  14  D
 2.121302663  3  7  0  D
 2.169376040  3  7  1  D
 2.184859328  3  6  1  D
 2.242670434  3  5  1  D
 2.267070743  3  5  0  D
 2.297983723  3  5  14  D
 2.312526626  3  6  14  D
 2.336212648  3  7  14  D
 2.359339555  3  7  13  D
 2.415517930  3  8  13  D
 2.474365347  3  9  13  D
 2.487669710  3  8  13  D
 2.531065569  3  8  12  D
 2.568818922  3  8  11  D
 2.608848453  3  9  11  D
 2.629591924  3  9  12  D
 2.661314929  3  9  11  D
 2.703889556  3  9  12  D
 2.725622070  3  8  12  D
 2.779430901  3  8  11  D
 2.835281604  3  8  12  D
 2.891104111  3  7  12  D
 2.936377034  3  6  12  D
 2.963178775  3  6  13  D
 3.009145291  3  7  13  D
 3.043841928  3  7  12  D
 3.064511453  3  7  11  D
 3.095241440  3  7  12  D
 3.140260354  3  7  11  D
 3.163524001  3  7  12  D
 3.218076946  3  6  12  D
 3.258516256  3  7  12  D
 0.001693048  1  4  13  B
 0.050005085  1  4  14  B
 0.086064147  1  5  14  B
 0.123991711  1  4  14  B
 0.182631760  1  4  13  B
 0.218299080  1  4  14  B
 0.251102963  1  4  0  B
 0.271156480  1  5  0  B
